TEAM_NAME,FG3M,FG3A,FG3%,GAMES,FG3AperGame,SEASON
Boston Celtics,156,433,0.36027713625866054,11,39.36363636363637,2024-25
Cleveland Cavaliers,134,369,0.36314363143631434,9,41.0,2024-25
Denver Nuggets,166,479,0.3465553235908142,14,34.214285714285715,2024-25
Detroit Pistons,61,188,0.324468085106383,6,31.333333333333332,2024-25
Golden State Warriors,164,465,0.35268817204301073,12,38.75,2024-25
Houston Rockets,74,198,0.37373737373737376,7,28.285714285714285,2024-25
Indiana Pacers,214,534,0.40074906367041196,16,33.375,2024-25
Los Angeles Clippers,84,231,0.36363636363636365,7,33.0,2024-25
Los Angeles Lakers,68,194,0.35051546391752575,5,38.8,2024-25
Memphis Grizzlies,42,138,0.30434782608695654,4,34.5,2024-25
Miami Heat,55,159,0.34591194968553457,4,39.75,2024-25
Milwaukee Bucks,72,190,0.37894736842105264,5,38.0,2024-25
Minnesota Timberwolves,199,556,0.3579136690647482,15,37.06666666666667,2024-25
New York Knicks,199,570,0.34912280701754383,18,31.666666666666668,2024-25
Oklahoma City Thunder,201,599,0.335559265442404,16,37.4375,2024-25
Orlando Magic,41,156,0.26282051282051283,5,31.2,2024-25
