TEAM_NAME,FG3M,FG3A,FG3%,GAMES,FG3AperGame,SEASON
Atlanta Hawks,106,318,0.3333333333333333,10,31.8,2015-16
Boston Celtics,52,189,0.2751322751322751,6,31.5,2015-16
Charlotte Hornets,40,130,0.3076923076923077,7,18.571428571428573,2015-16
Cleveland Cavaliers,258,635,0.4062992125984252,21,30.238095238095237,2015-16
Dallas Mavericks,31,107,0.2897196261682243,5,21.4,2015-16
Detroit Pistons,35,93,0.3763440860215054,4,23.25,2015-16
Golden State Warriors,306,778,0.39331619537275064,24,32.416666666666664,2015-16
Houston Rockets,38,142,0.2676056338028169,5,28.4,2015-16
Indiana Pacers,57,149,0.3825503355704698,7,21.285714285714285,2015-16
Los Angeles Clippers,34,117,0.2905982905982906,6,19.5,2015-16
Memphis Grizzlies,19,64,0.296875,4,16.0,2015-16
Miami Heat,96,268,0.3582089552238806,14,19.142857142857142,2015-16
Oklahoma City Thunder,149,448,0.3325892857142857,18,24.88888888888889,2015-16
Portland Trail Blazers,131,344,0.3808139534883721,11,31.272727272727273,2015-16
San Antonio Spurs,82,191,0.4293193717277487,10,19.1,2015-16
Toronto Raptors,137,459,0.2984749455337691,20,22.95,2015-16
Atlanta Hawks,50,164,0.3048780487804878,6,27.333333333333332,2016-17
Boston Celtics,229,620,0.36935483870967745,18,34.44444444444444,2016-17
Chicago Bulls,42,141,0.2978723404255319,6,23.5,2016-17
Cleveland Cavaliers,256,610,0.419672131147541,18,33.888888888888886,2016-17
Golden State Warriors,216,559,0.38640429338103754,17,32.88235294117647,2016-17
Houston Rockets,141,423,0.3333333333333333,11,38.45454545454545,2016-17
Indiana Pacers,45,115,0.391304347826087,4,28.75,2016-17
Los Angeles Clippers,57,164,0.3475609756097561,7,23.428571428571427,2016-17
Memphis Grizzlies,56,145,0.38620689655172413,6,24.166666666666668,2016-17
Milwaukee Bucks,54,130,0.4153846153846154,6,21.666666666666668,2016-17
Oklahoma City Thunder,42,135,0.3111111111111111,5,27.0,2016-17
Portland Trail Blazers,44,136,0.3235294117647059,4,34.0,2016-17
San Antonio Spurs,137,391,0.35038363171355497,16,24.4375,2016-17
Toronto Raptors,78,235,0.33191489361702126,10,23.5,2016-17
Utah Jazz,104,285,0.3649122807017544,11,25.90909090909091,2016-17
Washington Wizards,109,344,0.3168604651162791,13,26.46153846153846,2016-17
Boston Celtics,199,581,0.342512908777969,19,30.57894736842105,2017-18
Cleveland Cavaliers,221,667,0.3313343328335832,22,30.318181818181817,2017-18
Golden State Warriors,235,659,0.3566009104704097,21,31.38095238095238,2017-18
Houston Rockets,228,676,0.33727810650887574,17,39.76470588235294,2017-18
Indiana Pacers,68,190,0.35789473684210527,7,27.142857142857142,2017-18
Miami Heat,54,138,0.391304347826087,5,27.6,2017-18
Milwaukee Bucks,67,180,0.37222222222222223,7,25.714285714285715,2017-18
Minnesota Timberwolves,45,109,0.41284403669724773,5,21.8,2017-18
New Orleans Pelicans,89,243,0.3662551440329218,9,27.0,2017-18
Oklahoma City Thunder,63,173,0.36416184971098264,6,28.833333333333332,2017-18
Philadelphia 76ers,99,293,0.3378839590443686,10,29.3,2017-18
Portland Trail Blazers,43,129,0.3333333333333333,4,32.25,2017-18
San Antonio Spurs,42,141,0.2978723404255319,5,28.2,2017-18
Toronto Raptors,104,267,0.3895131086142322,10,26.7,2017-18
Utah Jazz,118,329,0.3586626139817629,11,29.90909090909091,2017-18
Washington Wizards,48,131,0.366412213740458,6,21.833333333333332,2017-18
Boston Celtics,102,297,0.3434343434343434,9,33.0,2018-19
Brooklyn Nets,55,170,0.3235294117647059,5,34.0,2018-19
Denver Nuggets,134,389,0.3444730077120823,14,27.785714285714285,2018-19
Detroit Pistons,44,133,0.3308270676691729,4,33.25,2018-19
Golden State Warriors,268,720,0.37222222222222223,22,32.72727272727273,2018-19
Houston Rockets,172,470,0.3659574468085106,11,42.72727272727273,2018-19
Indiana Pacers,40,119,0.33613445378151263,4,29.75,2018-19
Los Angeles Clippers,69,190,0.3631578947368421,6,31.666666666666668,2018-19
Milwaukee Bucks,192,571,0.3362521891418564,15,38.06666666666667,2018-19
Oklahoma City Thunder,52,157,0.33121019108280253,5,31.4,2018-19
Orlando Magic,52,174,0.2988505747126437,5,34.8,2018-19
Philadelphia 76ers,113,341,0.3313782991202346,12,28.416666666666668,2018-19
Portland Trail Blazers,189,525,0.36,16,32.8125,2018-19
San Antonio Spurs,47,139,0.3381294964028777,7,19.857142857142858,2018-19
Toronto Raptors,286,827,0.34582829504232165,24,34.458333333333336,2018-19
Utah Jazz,47,179,0.26256983240223464,5,35.8,2018-19
Boston Celtics,211,619,0.3408723747980614,17,36.411764705882355,2019-20
Brooklyn Nets,62,184,0.33695652173913043,4,46.0,2019-20
Dallas Mavericks,81,225,0.36,6,37.5,2019-20
Denver Nuggets,233,615,0.37886178861788616,19,32.36842105263158,2019-20
Houston Rockets,203,561,0.36185383244206776,12,46.75,2019-20
Indiana Pacers,48,128,0.375,4,32.0,2019-20
Los Angeles Clippers,157,427,0.36768149882903983,13,32.84615384615385,2019-20
Los Angeles Lakers,254,718,0.35376044568245124,21,34.19047619047619,2019-20
Miami Heat,268,746,0.35924932975871315,21,35.523809523809526,2019-20
Milwaukee Bucks,133,371,0.3584905660377358,10,37.1,2019-20
Oklahoma City Thunder,84,256,0.328125,7,36.57142857142857,2019-20
Orlando Magic,75,199,0.3768844221105528,5,39.8,2019-20
Philadelphia 76ers,32,121,0.2644628099173554,4,30.25,2019-20
Portland Trail Blazers,58,153,0.3790849673202614,5,30.6,2019-20
Toronto Raptors,161,443,0.36343115124153497,11,40.27272727272727,2019-20
Utah Jazz,110,261,0.421455938697318,7,37.285714285714285,2019-20
Atlanta Hawks,211,615,0.34308943089430893,18,34.166666666666664,2020-21
Boston Celtics,64,183,0.34972677595628415,5,36.6,2020-21
Brooklyn Nets,163,427,0.38173302107728335,12,35.583333333333336,2020-21
Dallas Mavericks,95,245,0.3877551020408163,7,35.0,2020-21
Denver Nuggets,147,385,0.38181818181818183,10,38.5,2020-21
Los Angeles Clippers,263,691,0.38060781476121563,19,36.36842105263158,2020-21
Los Angeles Lakers,59,197,0.29949238578680204,6,32.833333333333336,2020-21
Memphis Grizzlies,52,158,0.3291139240506329,5,31.6,2020-21
Miami Heat,48,143,0.3356643356643357,4,35.75,2020-21
Milwaukee Bucks,258,804,0.3208955223880597,23,34.95652173913044,2020-21
New York Knicks,52,152,0.34210526315789475,5,30.4,2020-21
Philadelphia 76ers,134,341,0.39296187683284456,12,28.416666666666668,2020-21
Phoenix Suns,246,654,0.3761467889908257,22,29.727272727272727,2020-21
Portland Trail Blazers,97,235,0.4127659574468085,6,39.166666666666664,2020-21
